element,gw,minutes,expected_goal_involvements,ict_index,expected_goals,expected_assists,bps,fixture,starts,clean_sheets,assists,creativity,team_h_score,total_points,bonus,penalties_missed,opponent_team,influence,saves,expected_goals_conceded,red_cards,team_a_score,threat,yellow_cards,goals_conceded,goals_scored,points_per_game,full_name,team_id_current,team_name_current,team_id_gw,team_name_gw,opponent_team_name,was_home,price_now,position,season
1,1,90,0.00,4.9,0.00,0.00,38,9,1,1,0,0.0,0,10,3,0,14,49.2,7,1.52,0,1,0.0,1,0,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,Man Utd,False,5.7,Goalkeeper,2526
1,2,90,0.00,1.3,0.00,0.00,28,11,1,1,0,0.0,5,6,0,0,11,13.4,1,0.17,0,0,0.0,0,0,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,Leeds,True,5.7,Goalkeeper,2526
1,3,90,0.02,3.0,0.00,0.02,12,25,1,0,0,10.0,1,2,0,0,12,20.0,2,0.52,0,0,0.0,0,1,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,Liverpool,False,5.7,Goalkeeper,2526
1,4,90,0.00,1.3,0.00,0.00,24,31,1,1,0,0.0,3,6,0,0,16,12.8,1,0.20,0,0,0.0,0,0,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,Nott'm Forest,True,5.7,Goalkeeper,2526
1,5,90,0.01,2.1,0.00,0.01,13,41,1,0,0,0.0,1,2,0,0,13,21.4,2,0.89,0,1,0.0,0,1,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,Man City,True,5.7,Goalkeeper,2526
1,6,90,0.01,1.6,0.00,0.01,11,58,1,0,0,0.0,1,2,0,0,15,15.8,2,0.61,0,2,0.0,0,1,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,Newcastle,False,5.7,Goalkeeper,2526
1,7,90,0.00,0.3,0.00,0.00,20,61,1,1,0,0.0,2,6,0,0,19,3.2,0,0.49,0,0,0.0,0,0,0,4.9,David Raya Martin,1,Arsenal,1,Arsenal,West Ham,True,5.7,Goalkeeper,2526
2,1,0,0.00,0.0,0.00,0.00,0,9,0,0,0,0.0,0,0,0,0,14,0.0,0,0.00,0,1,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,Man Utd,False,4.3,Goalkeeper,2526
2,2,0,0.00,0.0,0.00,0.00,0,11,0,0,0,0.0,5,0,0,0,11,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,Leeds,True,4.3,Goalkeeper,2526
2,3,0,0.00,0.0,0.00,0.00,0,25,0,0,0,0.0,1,0,0,0,12,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,Liverpool,False,4.3,Goalkeeper,2526
2,4,0,0.00,0.0,0.00,0.00,0,31,0,0,0,0.0,3,0,0,0,16,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,Nott'm Forest,True,4.3,Goalkeeper,2526
2,5,0,0.00,0.0,0.00,0.00,0,41,0,0,0,0.0,1,0,0,0,13,0.0,0,0.00,0,1,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,Man City,True,4.3,Goalkeeper,2526
2,6,0,0.00,0.0,0.00,0.00,0,58,0,0,0,0.0,1,0,0,0,15,0.0,0,0.00,0,2,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,Newcastle,False,4.3,Goalkeeper,2526
2,7,0,0.00,0.0,0.00,0.00,0,61,0,0,0,0.0,2,0,0,0,19,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Kepa Arrizabalaga Revuelta,1,Arsenal,1,Arsenal,West Ham,True,4.3,Goalkeeper,2526
3,1,0,0.00,0.0,0.00,0.00,0,9,0,0,0,0.0,0,0,0,0,14,0.0,0,0.00,0,1,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,Man Utd,False,4.0,Goalkeeper,2526
3,2,0,0.00,0.0,0.00,0.00,0,11,0,0,0,0.0,5,0,0,0,11,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,Leeds,True,4.0,Goalkeeper,2526
3,3,0,0.00,0.0,0.00,0.00,0,25,0,0,0,0.0,1,0,0,0,12,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,Liverpool,False,4.0,Goalkeeper,2526
3,4,0,0.00,0.0,0.00,0.00,0,31,0,0,0,0.0,3,0,0,0,16,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,Nott'm Forest,True,4.0,Goalkeeper,2526
3,5,0,0.00,0.0,0.00,0.00,0,41,0,0,0,0.0,1,0,0,0,13,0.0,0,0.00,0,1,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,Man City,True,4.0,Goalkeeper,2526
3,6,0,0.00,0.0,0.00,0.00,0,58,0,0,0,0.0,1,0,0,0,15,0.0,0,0.00,0,2,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,Newcastle,False,4.0,Goalkeeper,2526
3,7,0,0.00,0.0,0.00,0.00,0,61,0,0,0,0.0,2,0,0,0,19,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Karl Hein,1,Arsenal,1,Arsenal,West Ham,True,4.0,Goalkeeper,2526
4,1,0,0.00,0.0,0.00,0.00,0,9,0,0,0,0.0,0,0,0,0,14,0.0,0,0.00,0,1,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,Man Utd,False,4.0,Goalkeeper,2526
4,2,0,0.00,0.0,0.00,0.00,0,11,0,0,0,0.0,5,0,0,0,11,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,Leeds,True,4.0,Goalkeeper,2526
4,3,0,0.00,0.0,0.00,0.00,0,25,0,0,0,0.0,1,0,0,0,12,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,Liverpool,False,4.0,Goalkeeper,2526
4,4,0,0.00,0.0,0.00,0.00,0,31,0,0,0,0.0,3,0,0,0,16,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,Nott'm Forest,True,4.0,Goalkeeper,2526
4,5,0,0.00,0.0,0.00,0.00,0,41,0,0,0,0.0,1,0,0,0,13,0.0,0,0.00,0,1,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,Man City,True,4.0,Goalkeeper,2526
4,6,0,0.00,0.0,0.00,0.00,0,58,0,0,0,0.0,1,0,0,0,15,0.0,0,0.00,0,2,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,Newcastle,False,4.0,Goalkeeper,2526
4,7,0,0.00,0.0,0.00,0.00,0,61,0,0,0,0.0,2,0,0,0,19,0.0,0,0.00,0,0,0.0,0,0,0,0.0,Tommy Setford,1,Arsenal,1,Arsenal,West Ham,True,4.0,Goalkeeper,2526
5,1,90,0.00,2.7,0.00,0.00,23,9,1,1,0,0.3,0,6,0,0,14,22.8,0,1.52,0,1,4.0,0,0,0,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,Man Utd,False,6.3,Defender,2526
5,2,90,0.05,2.3,0.04,0.01,26,11,1,1,0,3.3,5,6,0,0,11,13.4,0,0.17,0,0,6.0,0,0,0,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,Leeds,True,6.3,Defender,2526
5,3,90,0.03,1.9,0.02,0.01,8,25,1,0,0,1.4,1,2,0,0,12,15.4,0,0.52,0,0,2.0,0,1,0,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,Liverpool,False,6.3,Defender,2526
5,4,90,0.21,3.8,0.20,0.01,32,31,1,1,0,1.3,3,9,1,0,16,28.0,0,0.20,0,0,9.0,0,0,0,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,Nott'm Forest,True,6.3,Defender,2526
5,5,90,0.01,2.2,0.00,0.01,13,41,1,0,0,2.3,1,2,0,0,13,19.6,0,0.89,0,1,0.0,0,1,0,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,Man City,True,6.3,Defender,2526
5,6,90,0.24,11.2,0.22,0.02,34,58,1,0,0,2.5,1,13,3,0,15,76.8,0,0.61,0,2,33.0,0,1,1,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,Newcastle,False,6.3,Defender,2526
5,7,90,0.03,2.9,0.00,0.03,33,61,1,1,0,2.0,2,9,1,0,19,24.6,0,0.49,0,0,2.0,0,0,0,6.7,Gabriel dos Santos Magalhaes,1,Arsenal,1,Arsenal,West Ham,True,6.3,Defender,2526
6,1,90,0.00,3.2,0.00,0.00,25,9,1,1,0,0.1,0,9,1,0,14,31.4,0,1.52,0,1,0.0,0,0,0,4.2,William Saliba,1,Arsenal,1,Arsenal,Man Utd,False,6.0,Defender,2526
6,2,90,0.01,2.3,0.00,0.01,27,11,1,1,0,2.1,5,6,0,0,11,18.4,0,0.17,0,0,2.0,0,0,0,4.2,William Saliba,1,Arsenal,1,Arsenal,Leeds,True,6.0,Defender,2526
6,3,4,0.00,0.3,0.00,0.00,4,25,1,0,0,0.0,1,1,0,0,12,3.0,0,0.00,0,0,0.0,0,0,0,4.2,William Saliba,1,Arsenal,1,Arsenal,Liverpool,False,6.0,Defender,2526
6,4,0,0.00,0.0,0.00,0.00,0,31,0,0,0,0.0,3,0,0,0,16,0.0,0,0.00,0,0,0.0,0,0,0,4.2,William Saliba,1,Arsenal,1,Arsenal,Nott'm Forest,True,6.0,Defender,2526
6,5,90,0.15,2.9,0.13,0.02,15,41,1,0,0,3.0,1,2,0,0,13,22.0,0,0.89,0,1,4.0,0,1,0,4.2,William Saliba,1,Arsenal,1,Arsenal,Man City,True,6.0,Defender,2526
6,6,45,0.07,1.9,0.00,0.07,8,58,0,0,0,11.8,1,1,0,0,15,5.4,0,0.20,0,2,2.0,0,0,0,4.2,William Saliba,1,Arsenal,1,Arsenal,Newcastle,False,6.0,Defender,2526
