element,gw,minutes,expected_goal_involvements,ict_index,expected_goals,expected_assists,bps,fixture,starts,clean_sheets,assists,creativity,team_h_score,total_points,bonus,penalties_missed,opponent_team,influence,saves,expected_goals_conceded,red_cards,team_a_score,threat,yellow_cards,goals_conceded,goals_scored,points_per_game,full_name,season
1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,16,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,3,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,4,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,14,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,6,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,18,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,7,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,,Folarin Balogun,2324
1,8,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,9,0,0,0,0,0,0,84,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,10,0,0,0,0,0,0,91,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,11,0,0,0,0,0,0,107,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,12,0,0,0,0,0,0,111,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,13,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,14,0,0,0,0,0,0,131,0,0,0,0,2,0,0,0,20,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,15,0,0,0,0,0,0,146,0,0,0,0,3,0,0,0,12,0,0,0,0,4,0,0,0,0,,Folarin Balogun,2324
1,16,0,0,0,0,0,0,151,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,17,0,0,0,0,0,0,161,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,18,0,0,0,0,0,0,174,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,19,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,20,0,0,0,0,0,0,193,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,21,0,0,0,0,0,0,201,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,22,0,0,0,0,0,0,215,0,0,0,0,1,0,0,0,16,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,23,0,0,0,0,0,0,221,0,0,0,0,3,0,0,0,11,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,24,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,0,,Folarin Balogun,2324
1,25,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,,Folarin Balogun,2324
1,26,0,0,0,0,0,0,251,0,0,0,0,4,0,0,0,15,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,27,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,17,0,0,0,0,6,0,0,0,0,,Folarin Balogun,2324
1,28,0,0,0,0,0,0,271,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,30,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,31,0,0,0,0,0,0,301,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,32,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,,Folarin Balogun,2324
1,33,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,34,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,,Folarin Balogun,2324
1,34,0,0,0,0,0,0,281,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,35,0,0,0,0,0,0,348,0,0,0,0,2,0,0,0,18,0,0,0,0,3,0,0,0,0,,Folarin Balogun,2324
1,36,0,0,0,0,0,0,351,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,Folarin Balogun,2324
1,37,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
1,38,0,0,0,0,0,0,371,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0,0,0,,Folarin Balogun,2324
2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,16,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,3,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,4,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,14,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,6,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,18,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,7,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,,Cedric Alves Soares,2324
2,8,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,9,0,0,0,0,0,0,84,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,10,0,0,0,0,0,0,91,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,11,0,0,0,0,0,0,107,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,12,0,0,0,0,0,0,111,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,13,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,14,0,0,0,0,0,0,131,0,0,0,0,2,0,0,0,20,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,15,0,0,0,0,0,0,146,0,0,0,0,3,0,0,0,12,0,0,0,0,4,0,0,0,0,,Cedric Alves Soares,2324
2,16,0,0,0,0,0,0,151,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,17,0,0,0,0,0,0,161,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,18,0,0,0,0,0,0,174,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,19,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,20,0,0,0,0,0,0,193,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,21,0,0,0,0,0,0,201,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,22,0,0,0,0,0,0,215,0,0,0,0,1,0,0,0,16,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,23,0,0,0,0,0,0,221,0,0,0,0,3,0,0,0,11,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,24,13,0,0.1,0,0,3,239,0,0,0,0.7,0,1,0,0,19,0.4,0,0.13,0,6,0,0,0,0,,Cedric Alves Soares,2324
2,25,21,0.01,0.2,0,0.01,3,242,0,0,0,1.3,0,1,0,0,6,0.6,0,0.15,0,5,0,0,0,0,,Cedric Alves Soares,2324
2,26,0,0,0,0,0,0,251,0,0,0,0,4,0,0,0,15,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,27,25,0.01,0.3,0,0.01,9,269,0,0,0,2.3,0,1,0,0,17,1,0,0.11,0,6,0,0,0,0,,Cedric Alves Soares,2324
2,28,0,0,0,0,0,0,271,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,30,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,31,0,0,0,0,0,0,301,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,32,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,,Cedric Alves Soares,2324
2,33,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,34,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,,Cedric Alves Soares,2324
2,34,0,0,0,0,0,0,281,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,35,0,0,0,0,0,0,348,0,0,0,0,2,0,0,0,18,0,0,0,0,3,0,0,0,0,,Cedric Alves Soares,2324
2,36,0,0,0,0,0,0,351,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,Cedric Alves Soares,2324
2,37,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
2,38,0,0,0,0,0,0,371,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0,0,0,,Cedric Alves Soares,2324
3,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,16,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,3,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,4,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,14,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,6,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,18,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,7,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,,Mohamed Elneny,2324
3,8,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,9,0,0,0,0,0,0,84,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,10,1,0,0.4,0,0,12,91,0,0,1,0.5,5,4,0,0,17,1.8,0,0,0,0,2,0,0,0,,Mohamed Elneny,2324
3,11,0,0,0,0,0,0,107,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,12,0,0,0,0,0,0,111,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,13,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,14,0,0,0,0,0,0,131,0,0,0,0,2,0,0,0,20,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,15,0,0,0,0,0,0,146,0,0,0,0,3,0,0,0,12,0,0,0,0,4,0,0,0,0,,Mohamed Elneny,2324
3,16,0,0,0,0,0,0,151,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,17,0,0,0,0,0,0,161,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,18,0,0,0,0,0,0,174,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,19,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,20,0,0,0,0,0,0,193,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,21,0,0,0,0,0,0,201,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,22,0,0,0,0,0,0,215,0,0,0,0,1,0,0,0,16,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,23,0,0,0,0,0,0,221,0,0,0,0,3,0,0,0,11,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,24,23,0.09,1.1,0.08,0.01,1,239,0,0,0,1.3,0,1,0,0,19,2,0,0.13,0,6,8,0,0,0,,Mohamed Elneny,2324
3,25,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,,Mohamed Elneny,2324
3,26,1,0,0.1,0,0,3,251,0,0,0,0.3,4,1,0,0,15,0.2,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,27,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,17,0,0,0,0,6,0,0,0,0,,Mohamed Elneny,2324
3,28,0,0,0,0,0,0,271,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,30,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,31,0,0,0,0,0,0,301,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,32,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,,Mohamed Elneny,2324
3,33,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,34,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,,Mohamed Elneny,2324
3,34,0,0,0,0,0,0,281,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,35,0,0,0,0,0,0,348,0,0,0,0,2,0,0,0,18,0,0,0,0,3,0,0,0,0,,Mohamed Elneny,2324
3,36,0,0,0,0,0,0,351,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,Mohamed Elneny,2324
3,37,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
3,38,0,0,0,0,0,0,371,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0,0,0,,Mohamed Elneny,2324
4,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,16,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,3,34,0.26,6.3,0.04,0.22,22,21,0,0,2,15.3,2,7,0,0,10,23,0,0.25,0,2,25,0,1,0,,Fabio Ferreira Vieira,2324
4,4,13,0.01,3.4,0,0.01,15,31,0,0,1,12.2,3,4,0,0,14,18,0,0.06,0,1,4,0,0,0,,Fabio Ferreira Vieira,2324
4,5,79,0.43,3.7,0.37,0.06,6,43,1,1,0,11.7,0,3,0,0,9,0.2,0,0.2,0,1,25,0,0,0,,Fabio Ferreira Vieira,2324
4,6,45,0,0.5,0,0,0,51,1,0,0,1.3,2,1,0,0,18,0,0,0.9,0,2,4,0,1,0,,Fabio Ferreira Vieira,2324
4,7,14,0.03,2,0,0.03,2,62,0,0,0,16,0,1,0,0,3,4.4,0,0,0,4,0,0,0,0,,Fabio Ferreira Vieira,2324
4,8,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,9,0,0,0,0,0,0,84,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,0,0,,Fabio Ferreira Vieira,2324
4,10,17,0.81,5.8,0.79,0.02,22,91,0,0,0,5.6,5,6,0,0,17,33.4,0,0,0,0,19,0,0,1,,Fabio Ferreira Vieira,2324
4,11,11,0.01,0.2,0,0.01,2,107,0,0,0,1.2,1,1,0,0,15,0.4,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,12,23,0,0,0,0,-7,111,0,0,0,0.3,3,-2,0,0,6,0,0,0.07,1,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,13,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,14,0,0,0,0,0,0,131,0,0,0,0,2,0,0,0,20,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,15,0,0,0,0,0,0,146,0,0,0,0,3,0,0,0,12,0,0,0,0,4,0,0,0,0,,Fabio Ferreira Vieira,2324
4,16,0,0,0,0,0,0,151,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,17,0,0,0,0,0,0,161,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,18,0,0,0,0,0,0,174,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,19,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,,Fabio Ferreira Vieira,2324
4,20,0,0,0,0,0,0,193,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,21,0,0,0,0,0,0,201,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,22,0,0,0,0,0,0,215,0,0,0,0,1,0,0,0,16,0,0,0,0,2,0,0,0,0,,Fabio Ferreira Vieira,2324
4,23,0,0,0,0,0,0,221,0,0,0,0,3,0,0,0,11,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,24,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,0,,Fabio Ferreira Vieira,2324
4,25,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,,Fabio Ferreira Vieira,2324
4,26,0,0,0,0,0,0,251,0,0,0,0,4,0,0,0,15,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,27,45,0.23,1.9,0,0.23,3,269,0,0,0,14.1,0,1,0,0,17,2.8,0,0.2,0,6,2,0,0,0,,Fabio Ferreira Vieira,2324
4,28,0,0,0,0,0,0,271,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,30,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,31,0,0,0,0,0,0,301,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,32,1,0.01,0,0,0.01,2,312,0,0,0,0.3,0,1,0,0,5,0,0,0.15,0,3,0,0,0,0,,Fabio Ferreira Vieira,2324
4,33,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,Fabio Ferreira Vieira,2324
4,34,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,,Fabio Ferreira Vieira,2324
4,34,8,0.1,1.7,0.05,0.05,0,281,0,0,0,10.8,5,1,0,0,7,0.6,0,0,0,0,6,0,0,0,,Fabio Ferreira Vieira,2324
4,35,0,0,0,0,0,0,348,0,0,0,0,2,0,0,0,18,0,0,0,0,3,0,0,0,0,,Fabio Ferreira Vieira,2324
4,36,0,0,0,0,0,0,351,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,Fabio Ferreira Vieira,2324
4,37,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
4,38,0,0,0,0,0,0,371,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0,0,0,,Fabio Ferreira Vieira,2324
5,1,4,0,0,0,0,2,2,0,0,0,0,2,1,0,0,16,0.2,0,0.02,0,1,0,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,2,20,0,1.3,0,0,5,12,0,0,0,0,0,1,0,0,8,13,0,0.73,0,1,0,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,3,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,4,90,0.01,2.3,0,0.01,16,31,1,0,0,2.2,3,2,0,0,14,21.2,0,0.96,0,1,0,0,1,0,,Gabriel dos Santos Magalhaes,2324
5,5,90,0.02,2.4,0,0.02,23,43,1,1,0,4.2,0,5,0,0,9,19.6,0,0.3,0,1,0,1,0,0,,Gabriel dos Santos Magalhaes,2324
5,6,90,0.08,1.8,0.07,0.01,11,51,1,0,0,1.7,2,1,0,0,18,7.8,0,1.5,0,2,8,0,2,0,,Gabriel dos Santos Magalhaes,2324
5,7,90,0,2.5,0,0,25,62,1,1,0,0.3,0,6,0,0,3,24.8,0,0.69,0,4,0,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,8,90,0,1.3,0,0,27,71,1,1,0,1.3,1,8,2,0,13,11.2,0,0.55,0,0,0,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,9,90,0.14,3,0.13,0.01,11,84,1,0,0,2.1,2,1,0,0,7,10.4,0,1.36,0,2,17,0,2,0,,Gabriel dos Santos Magalhaes,2324
5,10,0,0,0,0,0,0,91,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,11,90,0.03,2.3,0,0.03,12,107,1,0,0,2,1,2,0,0,15,19,0,1.09,0,0,2,0,1,0,,Gabriel dos Santos Magalhaes,2324
5,12,90,0.17,4.2,0.14,0.03,10,111,1,0,0,12.8,3,2,0,0,6,10.6,0,0.3,0,1,19,0,1,0,,Gabriel dos Santos Magalhaes,2324
5,13,90,0.08,2.3,0.06,0.02,23,121,1,1,0,2.8,0,6,0,0,4,13.2,0,1.11,0,1,7,0,0,0,,Gabriel dos Santos Magalhaes,2324
5,14,90,0.36,3.4,0.35,0.01,15,131,1,0,0,11.8,2,2,0,0,20,8.6,0,0.71,0,1,14,0,1,0,,Gabriel dos Santos Magalhaes,2324
5,15,90,0.02,1.9,0,0.02,12,146,1,0,0,1.5,3,1,0,0,12,15,0,0.5,0,4,2,0,3,0,,Gabriel dos Santos Magalhaes,2324
5,16,90,0.01,4.2,0,0.01,18,151,1,0,0,14,1,2,0,0,2,28.2,0,0.51,0,0,0,0,1,0,,Gabriel dos Santos Magalhaes,2324
5,17,90,0.11,3.1,0.06,0.05,24,161,1,1,0,2.1,2,6,0,0,5,10,0,0.69,0,0,19,0,0,0,,Gabriel dos Santos Magalhaes,2324
