assists,bonus,bps,clean_sheets,clean_sheets_per_90,creativity,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,saves_per_90,starts_per_90,threat,total_points,yellow_cards,full_name
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0.0,0,0,Fabio Ferreira Vieira
2,6,152,2,0.3,119.5,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,5,0.75,3,52.6,2,154.4,600,2.5,0,0.0,0.9,255.0,42,4,Gabriel Fernando de Jesus
2,9,459,10,0.38,208.8,1.21,0.05,3.91,0.15,2.7,23.09,0.88,0.1,22,0.84,3,108.2,3,584.6,2363,4.2,0,0.0,1.07,287.0,117,4,Gabriel dos Santos Magalhaes
3,14,343,7,0.34,269.0,1.65,0.08,11.18,0.54,9.53,19.32,0.93,0.46,20,0.96,9,144.8,4,467.6,1872,4.2,0,0.0,1.01,711.0,97,5,Kai Havertz
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,0,0.0,0.0,0.0,0,0,Karl Hein
3,9,426,11,0.41,296.8,1.3,0.05,2.53,0.1,1.23,21.09,0.79,0.05,21,0.78,1,94.2,6,393.0,2415,3.8,0,0.0,1.01,254.0,114,7,Jurrien Timber
0,0,112,2,0.26,88.8,0.59,0.08,0.65,0.09,0.06,6.05,0.78,0.01,7,0.9,0,14.2,7,44.8,701,1.3,0,0.0,1.16,8.0,20,5,Jorge Luiz Frello Filho
0,2,178,3,0.24,91.3,0.29,0.02,0.46,0.03,0.17,14.71,1.19,0.01,15,1.21,1,39.2,8,267.2,1117,2.5,0,0.0,0.81,32.0,43,1,Jakub Kiwior
4,6,422,10,0.39,587.8,4.46,0.18,11.59,0.46,7.13,26.22,1.03,0.28,25,0.99,8,206.1,9,559.8,2284,3.8,0,0.0,0.99,912.0,125,1,Gabriel Martinelli Silva
2,4,251,4,0.41,282.8,1.78,0.18,2.97,0.3,1.19,5.38,0.55,0.12,4,0.41,4,83.0,12,293.2,882,2.5,0,0.0,1.12,255.0,66,1,Ethan Nwaneri
9,11,529,11,0.43,968.7,6.68,0.26,11.53,0.45,4.85,22.16,0.86,0.19,21,0.81,3,198.8,13,524.6,2321,3.9,0,0.0,1.01,493.0,116,4,Martin Odegaard
0,10,555,13,0.34,10.7,0.03,0.0,0.03,0.0,0.0,35.03,0.92,0.0,34,0.89,0,76.7,15,755.4,3420,3.7,0,2.26,1.0,0.0,142,3,David Raya Martin
7,17,627,11,0.35,959.6,5.64,0.18,9.14,0.29,3.51,27.13,0.86,0.11,29,0.92,4,208.8,16,733.0,2823,3.6,1,0.0,1.05,399.0,127,5,Declan Rice
11,18,508,7,0.37,842.8,7.78,0.41,14.65,0.77,6.87,17.72,0.93,0.36,21,1.1,6,227.9,17,606.0,1724,5.1,0,0.0,1.04,830.0,127,3,Bukayo Saka
0,14,564,12,0.36,150.1,1.28,0.04,3.7,0.11,2.42,30.32,0.9,0.07,29,0.86,2,94.2,18,672.6,3039,3.7,1,0.0,1.04,116.0,130,2,William Saliba
3,8,567,9,0.29,377.9,2.64,0.09,4.91,0.16,2.27,30.83,0.99,0.07,30,0.97,4,123.2,20,626.6,2793,3.1,0,0.0,1.0,223.0,108,4,Thomas Partey
0,2,99,1,0.36,109.1,0.54,0.19,0.92,0.33,0.38,2.69,0.97,0.14,1,0.36,1,25.0,21,91.8,250,2.1,0,0.0,0.72,48.0,27,0,Kieran Tierney
0,0,2,0,0.0,0.3,0.0,0.0,0.18,2.7,0.18,0.04,0.6,2.7,0,0.0,0,1.0,22,0.4,6,1.0,0,0.0,0.0,9.0,1,0,Tomiyasu Takehiro
8,18,561,11,0.39,617.6,4.12,0.15,10.86,0.39,6.74,24.76,0.88,0.24,27,0.95,8,202.1,23,609.0,2546,4.0,1,0.0,0.99,798.0,152,2,Leandro Trossard
2,0,211,5,0.38,162.6,1.3,0.1,1.76,0.13,0.46,16.88,1.27,0.03,13,0.98,0,51.0,24,247.6,1195,2.9,0,0.0,0.98,100.0,50,2,Benjamin White
1,2,141,4,0.69,92.8,0.52,0.09,1.17,0.2,0.65,3.21,0.56,0.11,1,0.17,0,24.1,25,83.4,518,2.7,0,0.0,0.87,66.0,40,1,Oleksandr Zinchenko
0,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.46,0.0,2,1.0,0,7.8,73,77.8,180,3.5,0,5.5,1.0,0.0,7,0,Norberto Murara Neto
2,0,64,1,0.18,125.5,0.48,0.09,1.91,0.35,1.43,4.33,0.8,0.26,4,0.73,0,31.3,186,67.2,490,1.5,0,0.0,1.29,122.0,26,1,Raheem Sterling
1,1,142,1,0.09,118.2,0.69,0.06,1.55,0.14,0.86,10.28,0.95,0.08,12,1.1,2,54.6,578,252.6,978,2.1,0,0.0,1.01,176.0,39,4,Riccardo Calafiori
0,0,237,5,0.33,170.7,0.51,0.03,0.67,0.04,0.16,16.65,1.1,0.01,16,1.06,1,40.0,597,176.0,1362,1.6,2,0.0,0.99,57.0,37,3,Myles Lewis-Skelly
2,8,326,4,0.23,265.8,1.18,0.07,6.93,0.4,5.75,15.71,0.9,0.33,17,0.97,7,123.3,633,456.8,1575,3.3,1,0.0,0.97,511.0,92,2,Mikel Merino
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,638,0.0,0,0.0,0,0.0,0.0,0.0,0,0,Salah-Eddine Oulad M'hand
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,639,0.0,0,0.0,0,0.0,0.0,0.0,0,0,Tommy Setford
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,657,0.0,0,0.0,0,0.0,0.0,0.0,0,0,Maldini Kacurri
