element,gw,minutes,expected_goal_involvements,ict_index,expected_goals,expected_assists,bps,fixture,starts,clean_sheets,assists,transfers_in,creativity,total_points,bonus,penalties_missed,opponent_team,influence,saves,expected_goals_conceded,red_cards,team_a_score,threat,yellow_cards,goals_conceded,goals_scored,full_name,season
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,2,0,0,0,0,0,0,11,0,0,0,84,0,0,0,0,2,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,3,0,0,0,0,0,0,21,0,0,0,355,0,0,0,0,5,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,4,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,5,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,6,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,7,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,8,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,9,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,10,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,11,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,12,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,13,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,0,0,0,Fabio Ferreira Vieira,2425
1,14,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,15,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,16,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,17,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,Fabio Ferreira Vieira,2425
1,18,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,19,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,Fabio Ferreira Vieira,2425
1,20,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,21,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,22,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,23,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,24,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,25,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,26,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,27,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,28,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,29,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,30,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,31,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,32,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,Fabio Ferreira Vieira,2425
1,33,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,Fabio Ferreira Vieira,2425
1,33,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,35,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,36,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
1,37,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,Fabio Ferreira Vieira,2425
1,38,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,Fabio Ferreira Vieira,2425
2,1,5,0,0.1,0,0,1,2,0,0,0,0,0.8,0,0,0,20,0.2,0,0.15,0,0,0,1,0,0,Gabriel Fernando de Jesus,2425
2,2,0,0,0,0,0,0,11,0,0,0,12170,0,0,0,0,2,0,0,0,0,2,0,0,0,0,Gabriel Fernando de Jesus,2425
2,3,0,0,0,0,0,0,21,0,0,0,3238,0,0,0,0,5,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,4,10,0,0,0,0,1,39,0,0,0,1997,0,1,0,0,18,0,0,0.13,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,5,3,0,1,0,0,3,47,0,0,0,7682,0,0,0,0,13,10,0,0.69,0,2,0,1,1,0,Gabriel Fernando de Jesus,2425
2,6,1,0.11,1.9,0.11,0,4,51,0,0,0,10600,0,1,0,0,11,2,0,0,0,2,17,0,0,0,Gabriel Fernando de Jesus,2425
2,7,59,0.44,4.9,0.38,0.06,9,61,1,0,0,6898,31.5,1,0,0,17,1.8,0,0.32,0,1,16,0,1,0,Gabriel Fernando de Jesus,2425
2,8,10,0,0.7,0,0,8,71,0,0,0,7657,0.4,1,0,0,3,1,0,0,0,0,6,0,0,0,Gabriel Fernando de Jesus,2425
2,9,5,0.18,2.3,0.18,0,1,81,0,0,0,1944,0.3,0,0,0,12,2,0,0,0,2,21,1,0,0,Gabriel Fernando de Jesus,2425
2,10,19,0.01,0.6,0,0.01,0,96,0,0,0,2012,2.2,1,0,0,15,0,0,0.04,0,0,4,0,0,0,Gabriel Fernando de Jesus,2425
2,11,9,0,0.2,0,0,1,103,0,0,0,1427,1,1,0,0,6,0.8,0,0.04,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,12,90,0.2,4.5,0.15,0.05,1,111,1,1,0,1879,26.7,1,0,0,16,6.6,0,0.33,0,0,12,1,0,0,Gabriel Fernando de Jesus,2425
2,13,16,0.05,0.7,0.05,0,2,129,0,0,0,1427,0.7,1,0,0,19,0,0,0.74,0,5,6,0,0,0,Gabriel Fernando de Jesus,2425
2,14,0,0,0,0,0,0,131,0,0,0,1489,0,0,0,0,14,0,0,0,0,0,0,0,0,0,Gabriel Fernando de Jesus,2425
2,15,16,0,0.2,0,0,5,145,0,0,0,1265,0,1,0,0,9,2.2,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,16,21,0.17,1.2,0.15,0.02,0,151,0,0,0,1732,0.9,1,0,0,8,0,0,0,0,0,13,0,0,0,Gabriel Fernando de Jesus,2425
2,17,85,0.83,14,0.82,0.01,68,163,1,0,1,9720,3.3,16,3,0,7,74.6,0,1.55,0,5,62,0,1,2,Gabriel Fernando de Jesus,2425
2,18,71,0.1,2.7,0,0.1,4,171,1,1,0,685858,17.8,2,0,0,10,7.4,0,0.02,0,0,2,0,0,0,Gabriel Fernando de Jesus,2425
2,19,90,0.89,10.7,0.75,0.14,43,182,1,0,1,68746,6.8,12,3,0,4,38.2,0,0.29,0,3,62,0,1,1,Gabriel Fernando de Jesus,2425
2,20,90,0.59,6.9,0.46,0.13,1,193,1,0,0,354779,27.1,2,0,0,5,7.6,0,1.52,0,1,34,0,1,0,Gabriel Fernando de Jesus,2425
2,21,0,0,0,0,0,0,201,0,0,0,54388,0,0,0,0,18,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,22,0,0,0,0,0,0,211,0,0,0,304,0,0,0,0,2,0,0,0,0,2,0,0,0,0,Gabriel Fernando de Jesus,2425
2,23,0,0,0,0,0,0,230,0,0,0,151,0,0,0,0,20,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,24,0,0,0,0,0,0,231,0,0,0,68,0,0,0,0,13,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,25,0,0,0,0,0,0,245,0,0,0,133,0,0,0,0,11,0,0,0,0,2,0,0,0,0,Gabriel Fernando de Jesus,2425
2,26,0,0,0,0,0,0,251,0,0,0,80,0,0,0,0,19,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,27,0,0,0,0,0,0,264,0,0,0,42,0,0,0,0,16,0,0,0,0,0,0,0,0,0,Gabriel Fernando de Jesus,2425
2,28,0,0,0,0,0,0,276,0,0,0,62,0,0,0,0,14,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,29,0,0,0,0,0,0,281,0,0,0,59,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Gabriel Fernando de Jesus,2425
2,30,0,0,0,0,0,0,291,0,0,0,69,0,0,0,0,9,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,31,0,0,0,0,0,0,304,0,0,0,53,0,0,0,0,8,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
2,32,0,0,0,0,0,0,311,0,0,0,39,0,0,0,0,4,0,0,0,0,1,0,0,0,0,Gabriel Fernando de Jesus,2425
