element,gw,minutes,transfers_out,mng_clean_sheets,mng_draw,expected_goal_involvements,ict_index,expected_goals,expected_assists,bps,fixture,starts,mng_win,clean_sheets,assists,selected,transfers_in,mng_underdog_draw,creativity,team_h_score,total_points,value,mng_goals_scored,transfers_balance,bonus,penalties_missed,mng_loss,mng_underdog_win,opponent_team,own_goals,influence,saves,expected_goals_conceded,red_cards,team_a_score,threat,yellow_cards,penalties_saved,goals_conceded,goals_scored,chance_of_playing_next_round,chance_of_playing_this_round,points_per_game,total_points_static,minutes_static,goals_scored_static,assists_static,clean_sheets_static,goals_conceded_static,yellow_cards_static,red_cards_static,bonus_static,bps_static,influence_static,creativity_static,threat_static,ict_index_static,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,expected_goals_static,expected_assists_static,expected_goal_involvements_static,expected_goals_conceded_static,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,full_name
78,1,90,0,0,0,0.48,9.9,0.44,0.04,25,6,1,0,0,0,92042,0,0,6.7,1,8,55,0,0,1,0,0,0,16,0,39.0,0,1.3,0,1,53.0,0,0,1,1,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,2,90,12235,0,0,1.5,9.8,0.27,1.23,20,12,1,0,0,1,153277,46515,0,33.9,1,5,55,0,34280,0,0,0,0,15,0,26.0,0,1.61,0,1,38.0,0,0,1,0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,3,90,47572,0,0,0.53,11.5,0.5,0.03,23,24,1,0,0,0,316904,191022,0,15.8,2,6,55,0,143450,0,0,0,0,8,0,40.4,0,1.97,0,3,59.0,1,0,2,1,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,4,90,124018,0,0,0.13,1.2,0.1,0.03,4,32,1,0,0,0,610621,389980,0,2.3,0,1,56,0,265962,0,0,0,0,6,0,0.0,0,0.78,0,1,13.0,1,0,1,0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,5,69,60806,0,0,0.36,5.1,0.35,0.01,9,46,1,0,0,0,622698,77210,0,3.2,3,2,56,0,16404,0,0,0,0,12,0,8.6,0,1.65,0,0,39.0,0,0,3,0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,6,88,88969,0,0,0.3,9.4,0.2,0.1,24,52,1,0,0,0,1075028,521955,0,23.6,3,7,57,0,432986,0,0,0,0,17,0,39.8,0,0.6,0,1,31.0,0,0,1,1,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,7,90,64289,0,0,0.3,5.2,0.26,0.04,13,68,1,0,0,0,1178610,166631,0,15.0,1,2,57,0,102342,0,0,0,0,11,0,13.2,0,0.79,0,0,24.0,0,0,1,0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,8,90,248545,0,0,0.72,6.4,0.64,0.08,-1,71,1,0,1,0,950434,27873,0,22.0,2,2,57,0,-220672,0,0,0,0,1,0,9.4,0,0.68,0,0,33.0,1,0,0,0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,9,90,100150,0,0,0.05,4.2,0.02,0.03,6,82,1,0,0,0,884395,29994,0,23.6,1,1,56,0,-70156,0,0,0,0,2,0,4.4,0,1.81,0,1,14.0,1,0,1,0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
78,10,90,138977,0,0,0.7,14.8,0.55,0.15,50,91,1,0,0,0,771408,24148,0,40.6,2,10,56,0,-114829,3,0,0,0,13,0,59.0,0,1.56,0,1,48.0,0,0,1,1,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian Araujo Zuniga
