chance_of_playing_next_round,chance_of_playing_this_round,id,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,full_name
,,1,6.0,18,270,0,0,2,1,1,0,3,78,82.6,10.0,0.0,9.2,1,28,0,0,0.0,0.02,0.02,2.21,0.0,3.33,0.01,0.01,0.74,0.33,1.0,0.67,0.0,David Raya Martin
,,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kepa Arrizabalaga Revuelta
0.0,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl Hein
,,4,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Setford
,,5,4.7,14,270,0,0,2,1,0,0,0,57,51.6,5.0,12.0,6.9,15,7,2,17,0.06,0.02,0.08,2.21,0.02,0.0,0.01,0.03,0.74,0.33,1.0,0.67,5.67,Gabriel dos Santos Magalhaes
75.0,,6,5.3,16,184,0,0,2,0,0,0,1,56,52.8,2.2,2.0,5.8,18,7,4,22,0.0,0.01,0.01,1.69,0.0,0.0,0.0,0.0,0.83,0.0,1.47,0.98,10.76,William Saliba
,,7,9.3,28,224,1,2,2,1,1,0,3,80,84.0,25.4,68.0,17.7,9,9,3,12,1.43,0.03,1.46,1.56,0.57,0.0,0.01,0.58,0.63,0.4,1.21,0.8,4.82,Riccardo Calafiori
,,8,8.7,26,172,2,1,1,1,1,0,3,72,109.4,41.2,86.0,23.7,8,6,8,16,0.9,0.1,1.0,1.35,0.47,0.0,0.05,0.52,0.71,0.52,1.05,0.52,8.37,Jurrien Timber
0.0,,9,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jakub Kiwior
,,10,0.5,1,44,0,0,0,0,1,0,0,6,4.4,3.7,0.0,0.8,1,2,1,2,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,4.09,Myles Lewis-Skelly
50.0,50.0,11,6.0,6,70,0,0,1,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,0.01,0.01,0.02,0.87,0.01,0.0,0.01,0.02,1.12,0.0,1.29,1.29,10.29,Benjamin White
,,13,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brayden Clarke
,,14,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maldini Kacurri
,,15,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Nichols
0.0,0.0,16,4.5,9,142,1,0,1,0,0,0,0,34,52.4,46.8,28.0,12.7,0,6,3,9,0.26,0.12,0.38,1.69,0.16,0.0,0.08,0.24,1.07,0.0,1.27,0.63,5.7,Bukayo Saka
100.0,50.0,17,2.3,7,147,0,0,1,1,0,0,0,24,20.8,26.9,22.0,7.0,6,9,2,17,0.14,0.35,0.49,1.94,0.09,0.0,0.21,0.3,1.19,0.61,1.22,0.61,10.41,Martin Odegaard
,,18,2.0,6,181,0,0,1,1,0,0,0,17,7.2,39.2,50.0,9.6,0,5,0,5,0.14,0.14,0.28,1.39,0.07,0.0,0.07,0.14,0.69,0.5,0.99,0.5,2.49,Noni Madueke
,,19,2.0,4,128,0,0,1,0,0,0,0,17,7.6,10.7,27.0,4.6,0,5,2,7,0.02,0.01,0.03,0.98,0.01,0.0,0.01,0.02,0.69,0.0,1.41,0.7,4.92,Gabriel Martinelli Silva
100.0,75.0,20,1.0,1,37,0,0,0,0,0,0,0,4,5.4,21.5,4.0,3.1,0,0,0,0,0.07,0.03,0.1,0.0,0.17,0.0,0.07,0.24,0.0,0.0,0.0,0.0,0.0,Leandro Trossard
,,21,5.3,16,262,0,2,2,1,0,0,0,53,41.0,74.0,13.0,12.8,7,13,0,20,0.15,0.65,0.8,1.73,0.05,0.0,0.22,0.27,0.59,0.34,1.03,0.69,6.87,Declan Rice
,,22,2.0,4,76,0,0,1,0,0,0,0,8,6.4,2.3,0.0,0.9,1,2,3,6,0.0,0.02,0.02,0.77,0.0,0.0,0.02,0.02,0.91,0.0,1.18,1.18,7.11,Mikel Merino Zazon
0.0,,23,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabio Ferreira Vieira
50.0,50.0,24,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christian Norgaard
,,25,1.0,1,52,0,0,0,0,0,0,0,3,5.6,1.8,5.0,1.2,0,3,1,4,0.02,0.01,0.03,0.0,0.03,0.0,0.02,0.05,0.0,0.0,0.0,0.0,6.92,Ethan Nwaneri
,,26,3.0,9,270,0,0,2,1,1,0,0,31,23.8,11.4,8.0,4.3,6,15,6,27,0.05,0.05,0.1,2.21,0.02,0.0,0.02,0.04,0.74,0.33,1.0,0.67,9.0,Martin Zubimendi Ibanez
0.0,,28,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ismeal Kabia
0.0,,29,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albert Sambi Lokonga
0.0,0.0,30,1.0,1,30,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0.0,0.01,0.01,0.82,0.0,0.0,0.03,0.03,2.46,0.0,0.0,0.0,9.0,Kai Havertz
0.0,0.0,31,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gabriel Fernando de Jesus
,,266,2.0,4,103,0,0,1,1,0,0,0,14,9.0,5.4,28.0,4.3,1,6,1,8,0.24,0.03,0.27,1.47,0.21,0.0,0.03,0.24,1.28,0.87,0.87,0.87,6.99,Eberechi Eze
,,662,1.5,3,111,0,0,0,1,0,0,0,21,30.0,0.8,2.0,3.3,5,3,6,11,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.42,0.81,0.0,0.0,8.92,Cristhian Mosquera
,,666,4.7,14,239,2,0,1,1,1,0,2,52,74.4,33.1,54.0,16.2,4,5,0,9,1.28,0.25,1.53,1.39,0.48,0.0,0.09,0.57,0.52,0.38,1.13,0.38,3.39,Viktor Gyokeres
,,700,2.5,5,27,0,1,0,0,0,0,0,13,1.0,0.8,26.0,2.8,0,1,2,3,0.14,0.02,0.16,0.12,0.47,0.0,0.07,0.54,0.4,0.0,0.0,0.0,10.0,Max Dowman
,,711,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andre Harriman-Annous
,,725,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Piero Hincapie
100.0,100.0,32,2.0,2,90,0,0,0,1,0,0,0,15,12.8,0.0,0.0,1.3,0,10,0,0,0.0,0.01,0.01,1.21,0.0,1.0,0.01,0.01,1.21,1.0,1.0,0.0,0.0,Emiliano Martinez Romero
,,33,3.5,7,180,0,0,1,3,1,0,0,22,25.4,0.0,0.0,2.6,4,19,0,0,0.0,0.0,0.0,4.1,0.0,2.0,0.0,0.0,2.05,1.5,1.0,0.5,0.0,Marco Bizot
0.0,0.0,34,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe Gauci
0.0,0.0,35,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Filip Marschall
,,36,3.3,10,253,0,0,1,3,1,0,0,42,64.2,48.8,7.0,12.1,15,8,5,20,0.01,0.34,0.35,4.41,0.0,0.0,0.12,0.12,1.57,1.07,1.07,0.36,7.11,Matty Cash
,,37,3.0,9,160,0,0,1,1,0,0,0,33,18.4,14.9,6.0,3.9,6,5,3,9,0.0,0.17,0.17,2.92,0.0,0.0,0.1,0.1,1.64,0.56,1.12,0.56,5.06,Lucas Digne
100.0,100.0,38,2.0,4,155,0,0,1,3,0,1,0,18,20.2,15.4,4.0,4.0,8,6,0,8,0.0,0.04,0.04,3.78,0.0,0.0,0.02,0.02,2.19,1.74,1.16,0.58,4.65,Ezri Konsa Ngoyo
,,39,1.0,2,109,0,0,0,3,0,0,0,16,29.6,53.5,7.0,9.0,9,7,1,10,0.11,0.18,0.29,2.4,0.09,0.0,0.15,0.24,1.98,2.48,0.83,0.0,8.26,Ian Maatsen
,,40,3.0,9,270,0,0,1,4,0,0,0,38,45.0,18.1,15.0,7.9,13,10,1,14,0.11,0.05,0.16,5.31,0.04,0.0,0.02,0.06,1.77,1.33,1.0,0.33,4.67,Tyrone Mings
,,41,1.5,3,106,0,0,0,2,0,0,0,7,20.4,6.3,9.0,3.6,1,9,3,4,0.07,0.13,0.2,2.11,0.06,0.0,0.11,0.17,1.79,1.7,0.85,0.0,3.4,Pau Torres
25.0,25.0,42,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andres Garcia
